model_path,split_type,norm,model_id,arel_data_tr,arel_data_un,norm_arel_data_tr,norm_arel_data_un,srel_data_tr,srel_data_un,r_data_tr,r_data_un
linear-california,train,T,12,2.22419744006819,3.47696426652707,0.666141786738224,1.04134243984126,0.108154184027517,0.0309010762209787,0.677132869952825,0.452878425317478
linear-california,union,E,12,2.21129469497302,3.33878418961987,0.652710770990917,0.985513331865368,0.109558711539713,0.0354800685446194,0.647991784715692,0.442676488586659
linear-california,union,T,12,2.25176973602385,3.50996496240273,0.668524382378338,1.04206798817863,0.10521286071332,0.0298979619713254,0.664583079769934,0.444241372473695
linear-california,test,E,13,1.99974213993661,2.32618093607351,0.626756892268702,0.729068966058969,0.135370185301058,0.0976680362129298,0.671934596433183,0.241273874583234
linear-california,test,T,13,2.0258479309842,5.48021561097875,0.635317808144745,1.71862779869966,0.131881968955984,0.00416843084155234,0.707806804847339,0.25310659956829
linear-california,train,E,13,2.26397189104974,6.57344684022292,0.673521107907503,1.95556986202032,0.103936838022014,0.00139697395804542,0.650697270678742,0.361040087256325
linear-california,train,T,13,2.25719922123402,7.65883380081058,0.67602574086717,2.29380231291277,0.104643157040528,0.00047185736973471,0.680305514186091,0.387040282202036
linear-california,union,E,13,2.31758077834005,7.11588103631288,0.684083374370201,2.10040398869048,0.0985116190029396,0.000812104902145213,0.633875660501338,0.328859888928298
linear-california,union,T,13,2.30668944745399,9.81089893944636,0.684829409298659,2.91274238619583,0.0995904056891164,5.48505173364873e-05,0.666679560993589,0.334955330791134
linear-california,test,E,14,1.88547774187885,2.21037213744819,0.590944275435061,0.692772304967415,0.151756541653083,0.109659832391183,0.680575214937048,0.516600385873725
linear-california,test,T,14,1.94127216894403,2.89401496793479,0.608794352489598,0.907580089327423,0.143521250312594,0.0553535232443906,0.709102380337514,0.44701502759441
linear-california,train,E,14,2.16335821560547,4.30794758020937,0.64358900741466,1.28159436894984,0.114938483985544,0.0134611491905813,0.658710544941011,0.410447874046491
linear-california,train,T,14,2.17874634416476,4.49869862960279,0.652529292771235,1.34734942552066,0.113183334683122,0.0111234628684652,0.680207736960312,0.414701315144922
linear-california,union,E,14,2.18899323558137,4.38214392171651,0.646128019814949,1.29348319979199,0.112029479154711,0.0124985339979403,0.642860250160332,0.398748429335729
linear-california,union,T,14,2.20779525079466,4.66337761231363,0.655468866484356,1.38450285932607,0.109942777752191,0.00943454229894796,0.667533856799403,0.397107879234251
linear-california,test,E,15,1.86348810488563,1.61940533788204,0.584052308581562,0.507552167164147,0.155130573830075,0.198016416940859,0.680719131337313,0.663362246882078
linear-california,test,T,15,1.93659396323832,1.6086544591926,0.60732723970707,0.504483485381849,0.144194245221601,0.20015675204423,0.705194288370383,0.663669353337571
linear-california,train,E,15,2.15005405252958,2.30416966882646,0.639631080776931,0.685479759837163,0.116477861680275,0.0998416678945018,0.658732847942264,0.507246696928366
linear-california,train,T,15,2.17816052810652,2.40973665587306,0.652353842269987,0.721710335869581,0.113249658723052,0.0898389500172071,0.676172060539495,0.506633239749288
linear-california,union,E,15,2.1765971582138,2.33896514258683,0.642469053312545,0.690395425362949,0.113426848300196,0.0964273751988789,0.642515689986176,0.493554236161346
linear-california,union,T,15,2.21591569114197,2.45892358430773,0.657879731272605,0.730025963230836,0.109053609090467,0.0855269640024638,0.66262831118781,0.494541507641135
linear-california,test,E,16,1.89422196815414,2.43673104277253,0.593684880824199,0.763717453946936,0.15043533300625,0.0874462427691655,0.678385436241929,0.347014990118321
